item,ibge
http://www.wikidata.org/entity/Q1816370,1304302
http://www.wikidata.org/entity/Q1793833,1304401
http://www.wikidata.org/entity/Q1646965,1400027
http://www.wikidata.org/entity/Q1763240,1400050
http://www.wikidata.org/entity/Q181056,1400100
http://www.wikidata.org/entity/Q1763254,1400159
http://www.wikidata.org/entity/Q1646914,1400175
http://www.wikidata.org/entity/Q772563,1400209
http://www.wikidata.org/entity/Q748315,1400233
http://www.wikidata.org/entity/Q1786374,1400282
http://www.wikidata.org/entity/Q1637423,1400308
http://www.wikidata.org/entity/Q1750038,1400407
http://www.wikidata.org/entity/Q1647045,1400456
http://www.wikidata.org/entity/Q1646932,1400472
http://www.wikidata.org/entity/Q1646960,1400506
http://www.wikidata.org/entity/Q1751337,1400605
http://www.wikidata.org/entity/Q1637434,1400704
http://www.wikidata.org/entity/Q1615298,1500107
http://www.wikidata.org/entity/Q942803,1500131
http://www.wikidata.org/entity/Q1804839,1500206
http://www.wikidata.org/entity/Q389536,1500305
http://www.wikidata.org/entity/Q1804899,1500347
http://www.wikidata.org/entity/Q2289869,1500404
http://www.wikidata.org/entity/Q22067014,1500503
http://www.wikidata.org/entity/Q434285,1500602
http://www.wikidata.org/entity/Q1804346,1500701
http://www.wikidata.org/entity/Q485887,1500800
http://www.wikidata.org/entity/Q486142,1500859
http://www.wikidata.org/entity/Q1804338,1500909
http://www.wikidata.org/entity/Q2008798,1500958
http://www.wikidata.org/entity/Q790342,1501006
http://www.wikidata.org/entity/Q1804902,1501105
http://www.wikidata.org/entity/Q804068,1501204
http://www.wikidata.org/entity/Q1804877,1501253
http://www.wikidata.org/entity/Q2009595,1501303
http://www.wikidata.org/entity/Q12829733,1501402
http://www.wikidata.org/entity/Q609824,1501451
http://www.wikidata.org/entity/Q1804361,1501501
http://www.wikidata.org/entity/Q2130429,1501576
http://www.wikidata.org/entity/Q2078868,1501600
http://www.wikidata.org/entity/Q320487,1501709
http://www.wikidata.org/entity/Q2008779,1501725
http://www.wikidata.org/entity/Q1975881,1501758
http://www.wikidata.org/entity/Q2008139,1501782
http://www.wikidata.org/entity/Q1804770,1501808
http://www.wikidata.org/entity/Q2009108,1501907
http://www.wikidata.org/entity/Q947745,1501956
http://www.wikidata.org/entity/Q1804813,1502004
http://www.wikidata.org/entity/Q1805206,1502103
http://www.wikidata.org/entity/Q2009474,1502152
http://www.wikidata.org/entity/Q1947031,1502202
http://www.wikidata.org/entity/Q955914,1502301
http://www.wikidata.org/entity/Q984581,1502400
http://www.wikidata.org/entity/Q1899080,1502509
http://www.wikidata.org/entity/Q2008619,1502608
http://www.wikidata.org/entity/Q1788037,1502707
http://www.wikidata.org/entity/Q2008125,1502756
http://www.wikidata.org/entity/Q2008271,1502764
http://www.wikidata.org/entity/Q2008449,1502772
http://www.wikidata.org/entity/Q2011907,1502806
http://www.wikidata.org/entity/Q2008226,1502855
http://www.wikidata.org/entity/Q1814514,1502905
http://www.wikidata.org/entity/Q2008541,1502939
http://www.wikidata.org/entity/Q2008261,1502954
http://www.wikidata.org/entity/Q2246005,1503002
http://www.wikidata.org/entity/Q2008493,1503044
http://www.wikidata.org/entity/Q2008750,1503077
http://www.wikidata.org/entity/Q2008317,1503093
http://www.wikidata.org/entity/Q2011913,1503101
http://www.wikidata.org/entity/Q2009058,1503200
http://www.wikidata.org/entity/Q651613,1503309
http://www.wikidata.org/entity/Q1880531,1503408
http://www.wikidata.org/entity/Q675175,1503457
http://www.wikidata.org/entity/Q2008410,1503507
http://www.wikidata.org/entity/Q655734,1503606
http://www.wikidata.org/entity/Q2008167,1503705
http://www.wikidata.org/entity/Q1805252,1503754
http://www.wikidata.org/entity/Q1967407,1503804
http://www.wikidata.org/entity/Q1008242,1503903
http://www.wikidata.org/entity/Q2008564,1504000
http://www.wikidata.org/entity/Q2008401,1504059
http://www.wikidata.org/entity/Q2008546,1504109
http://www.wikidata.org/entity/Q509818,1504208
http://www.wikidata.org/entity/Q2089279,1504307
http://www.wikidata.org/entity/Q1990477,1504406
http://www.wikidata.org/entity/Q1805166,1504422
http://www.wikidata.org/entity/Q2009048,1504455
http://www.wikidata.org/entity/Q2011923,1504505
http://www.wikidata.org/entity/Q2008596,1504604
http://www.wikidata.org/entity/Q2008213,1504703
http://www.wikidata.org/entity/Q22074332,1504752
http://www.wikidata.org/entity/Q2289897,1504802
http://www.wikidata.org/entity/Q1804369,1504901
http://www.wikidata.org/entity/Q1121422,1504950
http://www.wikidata.org/entity/Q728098,1504976
http://www.wikidata.org/entity/Q2009430,1505007
http://www.wikidata.org/entity/Q1787759,1505031
http://www.wikidata.org/entity/Q769811,1505064
http://www.wikidata.org/entity/Q577167,1505106
http://www.wikidata.org/entity/Q2008580,1505205
http://www.wikidata.org/entity/Q2011919,1505304
http://www.wikidata.org/entity/Q1829502,1505403
http://www.wikidata.org/entity/Q2008237,1505437
http://www.wikidata.org/entity/Q592117,1505486
http://www.wikidata.org/entity/Q2009230,1505494
http://www.wikidata.org/entity/Q935005,1505502
http://www.wikidata.org/entity/Q1806100,1505536
http://www.wikidata.org/entity/Q2008624,1505551
http://www.wikidata.org/entity/Q2009222,1505601
http://www.wikidata.org/entity/Q2008277,1505635
http://www.wikidata.org/entity/Q602405,1505650
http://www.wikidata.org/entity/Q1804377,1505700
http://www.wikidata.org/entity/Q2089210,1505809
http://www.wikidata.org/entity/Q2011894,1505908
http://www.wikidata.org/entity/Q2009663,1506005
http://www.wikidata.org/entity/Q2329733,1506104
http://www.wikidata.org/entity/Q2008521,1506112
http://www.wikidata.org/entity/Q2381693,1506138
http://www.wikidata.org/entity/Q2008301,1506161
http://www.wikidata.org/entity/Q2008429,1506187
http://www.wikidata.org/entity/Q2009519,1506195
http://www.wikidata.org/entity/Q1008198,1506203
http://www.wikidata.org/entity/Q1921992,1506302
http://www.wikidata.org/entity/Q2009202,1506351
http://www.wikidata.org/entity/Q640618,1506401
http://www.wikidata.org/entity/Q2008554,1506500
http://www.wikidata.org/entity/Q2008573,1506559
http://www.wikidata.org/entity/Q2009212,1506583
http://www.wikidata.org/entity/Q1901157,1506609
http://www.wikidata.org/entity/Q2008589,1506708
http://www.wikidata.org/entity/Q659450,1506807
http://www.wikidata.org/entity/Q1811192,1506906
http://www.wikidata.org/entity/Q2009548,1507003
http://www.wikidata.org/entity/Q632789,1507102
http://www.wikidata.org/entity/Q1841455,1507151
http://www.wikidata.org/entity/Q955985,1507201
http://www.wikidata.org/entity/Q1807317,1507300
http://www.wikidata.org/entity/Q2008769,1507409
http://www.wikidata.org/entity/Q2008501,1507458
http://www.wikidata.org/entity/Q2008293,1507466
http://www.wikidata.org/entity/Q2008440,1507474
http://www.wikidata.org/entity/Q2008417,1507508
http://www.wikidata.org/entity/Q2008532,1507607
